a52dec 0.8.0-2
xorg-xwayland 24.1.6-1
xorg-xwd 1.0.9-2
xorg-xwininfo 1.1.6-2
xorg-xwud 1.0.7-1
xorgproto 2024.1-2
xvidcore 1.3.7-3
xxhash 0.8.3-1
xz 5.8.1-1
yad 14.1-2
yarn 1.22.22-2
yay-bin 12.4.2-1
yay-bin-debug 12.4.2-1
yt-dlp 2025.03.31-1
yyjson 0.10.0-1
zeromq 4.3.5-2
zimg 3.0.5-1
zix 0.6.2-1
zlib 1:1.3.1-2
zsh 5.9-5
zsh-completions 0.35.0-2
zstd 1.5.7-2
